title,duration,description,tags/0,tags/1,tags/2,tags/3,views,author,videoId,comments,numRatings,age,dateFeaturedEpoch,dateFeatured,timestampFeatured,stars,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,tags/15,tags/16,tags/17,tags/18,tags/19,tags/20
Black Anthem music video,59,"The Public Relations featuring Jumbodude with their EMOtional ""Black Anthem"" music video. For more information visit www.myspace.com/thepublicrelationsfeatjumbodude 
 
if you wanna im me i'm on www.meetro.com...download it!",emo,black,hot,topic,15135,pdrop,PGwWnYO3QBQ,,102,17 hours ago  in Category: Music,1147801165000,"Tue, 16 May 2006 17:39:25 GMT",20060516173925,2.5,public,relations,jumbodude,,,,,,,,,,,,,,
Lazy Ramadi,191,"The Middle East response to the Midwest response ""Lazy Muncie"", to the West Coast response ""Lazy Monday"" to SNL's ""Lazy Sunday"".  PLEASE VISIT:   www.dav.org or www.uswoundedsoldiers.com and make a donation.",lazy,ramadi,muncie,narnia,17021,RamadiTV,5k3L-_Snu7k,,192,21 hours ago  in Category: Comedy,1147801165000,"Tue, 16 May 2006 17:39:25 GMT",20060516173925,2.5,sunday,,,,,,,,,,,,,,,,
Geek-Week vs. Joss Whedon,183,"An interview with some guy in a Joss Whedon costume... who turns out to actually be Joss Whedon! From the popular podcast at http://www.Geek-Week.net and the dorks that brought you ""The Secret Wars Re-Enactment Society""",funny,Joss,Whedon,Buffy,102057,FlatlineJack,DLyuTU26sDk,,381,1 week ago  in Category: Entertainment,1147801165000,"Tue, 16 May 2006 17:39:25 GMT",20060516173925,2.5,Vampire,Angel,Firefly,Serenity,Wonder,Woman,X-Men,comic,book,movie,Wizard,World,Secret,Wars,,,
Dance Machines,153,"I started recording this for yellow shirt guy but then the other dude came in to try to steal his thunder. Almost as awesome is the band playing Weezer's ""Beverly Hills"". This was filmed 5-7-06 at Seaport Village in San Diego by me.",Dancing,Weezer,San,Diego,97675,mchank,lU6sdCeY1Q8,,375,1 week ago  in Category: Comedy,1147801165000,"Tue, 16 May 2006 17:39:25 GMT",20060516173925,2.5,,,,,,,,,,,,,,,,,
Machine Man - Lasse Gjertsen,103,"Well, this isn't a very funny movie, more experimental, artistic and, eerm well.. lame..? 
Anyhooo, I think the way the guy's walking cycle is continuous while the background is changed out every frame looks cool. It took a while to edit it all together, but I think it's a nice little thingie..",lasse,gjertsen,machine,man,93540,lassegg,zrH1TNfG-YI,,584,1 week ago  in Category: Arts & Animation,1147801165000,"Tue, 16 May 2006 17:39:25 GMT",20060516173925,2.5,edit,editing,chinese,experimental,animation,artistic,lame,ass,and,titties,,,,,,,
Puppy vs. Cat,69,.,puppy,cat,cute,,478613,Sanchey,7bcV-TL9mho,,2234,1 week ago  in Category: Pets & Animals,1147801165000,"Tue, 16 May 2006 17:39:25 GMT",20060516173925,2.5,,,,,,,,,,,,,,,,,
Mother's Day,129,A Digital Mother's Day card.  Tucker and Brad show their love for mom by taking a Mother's Day photo...baratsandbereta.com,Mother,Mother's,Day,Barats,443279,BaratsAndBereta,bhcA4Ry65FU,,2222,3 weeks ago  in Category: Entertainment   Comedy,1147801165000,"Tue, 16 May 2006 17:39:25 GMT",20060516173925,2.5,and,Bereta,baratsandbereta,baratsandbereta.com,card,digital,short,,,,,,,,,,
"30 Seconds to Mars Acoustic ""The Story""",68,"A portion of Jared and Tomo performing ""The Story"" at the Zia Record Store in Chandler, until Jared stops to let his little stage guest go back to his mom.",30stm,Jared,,,48675,juwelz,LAPJ0tPHiPw,,135,4 days ago  in Category: Music,1147801165000,"Tue, 16 May 2006 17:39:25 GMT",20060516173925,2.5,,,,,,,,,,,,,,,,,
3rd Annual INTSS Sci-Fi Spelling Bee - Teaser,71,"Recently I held the 3rd Annual INTSS Sci-fi Spelling Bee at the Beverly Garland Hotel in Studio City, California. I can't believe Darth Vader showed up?!?! 
 
This is just a sample, if you'd like to see the whole thing, let me know. 
 
for more exciting adventures check out www.ineedtostopsoon.com",darth,vader,scifi,spelling,11673,ineedtostopsoon,7ppb4hokl4Q,,66,4 days ago  in Category: Comedy,1147856998000,"Wed, 17 May 2006 09:09:58 GMT",20060517090958,2.5,bee,intss,beverly,garland,hotel,event,star,wars,trek,weird,,,,,,,
Bass Shredding,49,This is what happens when you give a guitarist a bass.,bass,guitar,shredding,fender,40036,riffguy,aAxKq0_nhzU,,224,1 week ago  in Category: Music,1147856998000,"Wed, 17 May 2006 09:09:58 GMT",20060517090958,2.5,solo,,,,,,,,,,,,,,,,
doubleup awesome,8,This is a double up awesome.,cheer,stunt,double,up,125049,doubleupstretch,bkAoESFj_gc,,650,1 day ago  in Category: Sports,1147856998000,"Wed, 17 May 2006 09:09:58 GMT",20060517090958,2.5,doubleup,awesome,coed,,,,,,,,,,,,,,
Improvised Keyboard Solo by Chrism,59,"Thanks for all the positive (and negative) feedback!! Because of the IMMENSE popularity of this video I uploaded a new clip of SIMULACRUM performing live a song called ""The Beginning of Nothing"" at the Turku Bandstand 2005 band competition. It isn't perfect but we came second out of 30 bands. Check it out here: 
http://www.youtube.com/watch?v=3ZQlo
	
		Thanks for all the positive (and negative) feedback!! Because of the IMMENSE popularity of this video I uploaded a new clip of SIMULACRUM performing live a song called ""The Beginning of Nothing"" at the Turku Bandstand 2005 band competition. It isn't perfect but we came second out of 30 bands. Check it out here: 
http://www.youtube.com/watch?v=3ZQloN7gbJE 
 
(WWW.CHRISM-UNIVERSE.COM / WWW.SIMULACRUM.FI / WWW.IRONSPHERE.NET) 
 
Original text: 
An improvised keyboard solo on a song called ""Chapter V: Raiders of Arakogah"". The song will really feature a guitar/bass/synth duel at this part of the composition...
		... (more)
		(less)",shredding,fast,speed,power,52949,Simula84,0AqRdFsxgyg,,250,2 days ago  in Category: Music,1147856998000,"Wed, 17 May 2006 09:09:58 GMT",20060517090958,2.5,metal,solo,shred,progressive,fusion,insane,simulacrum,chrism,rudess,warman,synth,keyboard,,,,,
Black Anthem music video,59,"The Public Relations featuring Jumbodude with their EMOtional ""Black Anthem"" music video. For more information visit www.myspace.com/thepublicrelationsfeatjumbodude 
 
if you wanna im me i'm on www.meetro.com...download it!",emo,black,hot,topic,29105,pdrop,PGwWnYO3QBQ,,173,1 day ago  in Category: Music,1147856998000,"Wed, 17 May 2006 09:09:58 GMT",20060517090958,2.5,public,relations,jumbodude,,,,,,,,,,,,,,
Lazy Ramadi,191,"The Middle East response to the Midwest response ""Lazy Muncie"", to the West Coast response ""Lazy Monday"" to SNL's ""Lazy Sunday"".  PLEASE VISIT:   www.dav.org or www.uswoundedsoldiers.com and make a donation.",lazy,ramadi,muncie,narnia,47681,RamadiTV,5k3L-_Snu7k,,492,1 day ago  in Category: Comedy,1147856998000,"Wed, 17 May 2006 09:09:58 GMT",20060517090958,2.5,sunday,,,,,,,,,,,,,,,,
Geek-Week vs. Joss Whedon,183,"An interview with some guy in a Joss Whedon costume... who turns out to actually be Joss Whedon! From the popular podcast at http://www.Geek-Week.net and the dorks that brought you ""The Secret Wars Re-Enactment Society""",funny,Joss,Whedon,Buffy,118218,FlatlineJack,DLyuTU26sDk,,448,1 week ago  in Category: Entertainment,1147856998000,"Wed, 17 May 2006 09:09:58 GMT",20060517090958,2.5,Vampire,Angel,Firefly,Serenity,Wonder,Woman,X-Men,comic,book,movie,Wizard,World,Secret,Wars,,,
Dance Machines,153,"I started recording this for yellow shirt guy but then the other dude came in to try to steal his thunder. Almost as awesome is the band playing Weezer's ""Beverly Hills"". This was filmed 5-7-06 at Seaport Village in San Diego by me.",Dancing,Weezer,San,Diego,130531,mchank,lU6sdCeY1Q8,,464,1 week ago  in Category: Comedy,1147856998000,"Wed, 17 May 2006 09:09:58 GMT",20060517090958,2.5,,,,,,,,,,,,,,,,,
Machine Man - Lasse Gjertsen,103,"Well, this isn't a very funny movie, more experimental, artistic and, eerm well.. lame..? 
Anyhooo, I think the way the guy's walking cycle is continuous while the background is changed out every frame looks cool. It took a while to edit it all together, but I think it's a nice little thingie..",lasse,gjertsen,machine,man,104155,lassegg,zrH1TNfG-YI,,624,1 week ago  in Category: Arts & Animation,1147856998000,"Wed, 17 May 2006 09:09:58 GMT",20060517090958,2.5,edit,editing,chinese,experimental,animation,artistic,lame,ass,and,titties,,,,,,,
Puppy vs. Cat,69,.,puppy,cat,cute,,541274,Sanchey,7bcV-TL9mho,,2445,1 week ago  in Category: Pets & Animals,1147856998000,"Wed, 17 May 2006 09:09:58 GMT",20060517090958,2.5,,,,,,,,,,,,,,,,,
"Trojan Nuclear Plant Implosion - May 21, 2006",26,"The Trojan Nuclear Power Plant in Rainier, Oregon was imploded by engineers from Controlled Demolition, Inc. I joined several friends on a bluff across the mighty Columbia River in Washington State.",trojan,nuclear,implosion,explosion,14413,dunlap31,hr2TFLlA3jA,,85,15 hours ago  in Category: News & Blogs,1148301971000,"Mon, 22 May 2006 12:46:11 GMT",20060522124611,2.5,dynamite,,,,,,,,,,,,,,,,
YouPrez Beta - American Idol of Politics,19,"YouPrez Beta.  The Political After Party. 
Set a precedent.  Be the next president. 
The Ultimate American Dream. 
 
Here's how: 
1. Upload your speech to youtube. 
2. Tag your video ""youprez""  
 
Lurker? YouVote.  
 
Watch and rate ""youprez"" videos to vote. 
 
You 2008 - Let's get this party started right.",youprez,you,president,beta,46880,youprez,gKh7i0Qiylw,,111,1 day ago  in Category: Entertainment,1148301971000,"Mon, 22 May 2006 12:46:11 GMT",20060522124611,2.5,youtube,2008,campaign,decision,,,,,,,,,,,,,
STICKMAN APOCALYPSE,202,"STICKMAN APOCALYPSE 
This is an absolutely verbatim re-creation of a flip-book I made when I was five years-old.   Yup. No, really...                            http://www.loservillex.com/begging.html",xmen,secret,military,battle,30785,hawkwhirlwind,wYOVTxP5z5A,,208,4 days ago  in Category: Entertainment,1148301971000,"Mon, 22 May 2006 12:46:11 GMT",20060522124611,2.5,flash,war,wars,comedy,funny,animation,cartoon,adult,weird,lando,amazing,cult,music,indie,#1,,
Pac Man: The Movie,145,"The trailer for the long-awaited film about the greatest hero who ever lived. 
 
For more information, visit http://www.myspace.com/zoltarkill.",video,game,pac,man,331717,Zoltarkill,fWL6j0SvqV0,,1273,2 weeks ago  in Category: Video Games,1148301971000,"Mon, 22 May 2006 12:46:11 GMT",20060522124611,2.5,movie,trailer,uwe,boll,ghosts,power,pellets,nintendo,atari,pac-man,superman,batman,,,,,
"General Elektriks - ""Facing That Void"" music video",196,"Crazy stop motion video for Quannum's General Elektriks. More info at www.general-elektriks.com 
Directed by Arno Salters",general,elektriks,music,video,45688,djdingleberry,C3hnbYrv7sk,,157,2 days ago  in Category: Music,1148301971000,"Mon, 22 May 2006 12:46:11 GMT",20060522124611,2.5,quannum,animation,,,,,,,,,,,,,,,
DataDot DNA Protects Your Property,99,We gave DataDot a whirl and none of our stuff got stolen. Coincidence?,gizmodo,security,dna,forensics,41683,gizmodo,lV-ZkUegYXY,,112,4 days ago  in Category: Science & Technology,1148301971000,"Mon, 22 May 2006 12:46:11 GMT",20060522124611,2.5,,,,,,,,,,,,,,,,,
"""The Professional Rapper"" (The TV Pilot)",559,"Is John Reuben ""The Hip-Hop Bob Dylan""?    Do dreams come true?.........Yes, if you're a marketing genius.  The world loves to watch an underdog claw his way to the top.",John,Reuben,Reubonic,Plague,116588,ReubonicPlague,csNsvl81BP8,,708,4 days ago  in Category: Comedy,1148301971000,"Mon, 22 May 2006 12:46:11 GMT",20060522124611,2.5,Professional,Rapper,Hip,Hop,Bob,Dylan,Ohio,white,trailer,park,,,,,,,
balloony : exploding head,20,"The legendary balloony performs this once in his lifetime stunt. **production now in progress for ""The Bad Babies Show"" look at profile and get in the credits""",dangerous,head,exploding,stunt.,175917,DavideoDesign,nery-DSFtpo,,588,4 weeks ago  in Category: Entertainment,1148301971000,"Mon, 22 May 2006 12:46:11 GMT",20060522124611,2.5,,,,,,,,,,,,,,,,,
"FAST FOOD NATION Trailer -- ""The Big One""",72,"A YouTube exclusive. A dramatic feature based on material from the incendiary book Fast Food Nation, a no-holds-barred exploration of the fast food industry that ultimately revealed the dark side of the ""All American Meal."" A film by Richard Linklater, starring Patricia Arquette, Bobby Cannavale, Luis Guzman, Ethan Hawke, Ashley Johnson, Greg Kinne
	
		A YouTube exclusive. A dramatic feature based on material from the incendiary book Fast Food Nation, a no-holds-barred exploration of the fast food industry that ultimately revealed the dark side of the ""All American Meal."" A film by Richard Linklater, starring Patricia Arquette, Bobby Cannavale, Luis Guzman, Ethan Hawke, Ashley Johnson, Greg Kinnear, Kris Kristofferson, Avril Lavigne, Esai Morales, Catalina Sandino Moreno, Paul Dano, Lou Taylor Pucci, Ana Claudia Talancon and Wilmer Valderrama.
		... (more)
		(less)",Fast,food,nation,fox,207716,FoxSearchlight,X99n9BveKns,,481,5 days ago  in Category: Entertainment,1148301971000,"Mon, 22 May 2006 12:46:11 GMT",20060522124611,2.5,searchlight,participant,kinnear,arquette,hawke,catalina,schlosser,linklater,avril,movie,trailer,,,,,,
Touchscreen Computer Display Floats in Mid-Air,69,"As the manufacturer describes it ""Heliodisplay images are not holographic although they are free-space, employing a rear projection system in which images are captured onto a nearly invisible plane of transformed air.""",touchscreen,helio,floating,cool,288875,pockyrevolution,XOSx7v87JCA,,583,5 days ago  in Category: Science & Technology,1148301971000,"Mon, 22 May 2006 12:46:11 GMT",20060522124611,2.5,,,,,,,,,,,,,,,,,
Nada Surf - What Is Your Secret - Live @ Sonic Boom Records,184,"This is Nada Surf performing an acoustic version of What Is Your Secret at Sonic Boom records in Seattle on May 27th, 2006. 
 
Official Website of Nada Surf: nadasurf.com 
Nada Surf on Myspace: myspace.com/nadasurfny 
Sonic Boom Records: sonicboomrecords.com",nada,surf,sonic,boom,37164,vaporized,npjXEmExcxE,,108,18 hours ago  in Category: Music,1148881440000,"Mon, 29 May 2006 05:44:00 GMT",20060529054400,2.5,records,seattle,acoustic,washington,in-store,live,,,,,,,,,,,
street meet,22,:),dance,breakdance,streetdance,,63411,fab1,fkJlIRaepME,,306,6 days ago  in Category: Sports,1148881440000,"Mon, 29 May 2006 05:44:00 GMT",20060529054400,2.5,,,,,,,,,,,,,,,,,
Clifton Suspension Bridge,36,"Evening - night, highlighting the new lighting unveiled to celebrate Brunel's 200th birthday. 
 
Available for commissions or archive sales, all shot at uncompressed HD resolution. More details; www.lobsterpictures.tv",time,lapse,timelapse,clifton,14568,timelapseman,pjBWT4cBHXc,,85,5 days ago  in Category: Arts & Animation,1148881440000,"Mon, 29 May 2006 05:44:00 GMT",20060529054400,2.5,suspension,bridge,bristol,tide,sunset,,,,,,,,,,,,
Bass Catch,45,"WOW so many haters out there ha.this was just messin around you fools. and its easy to do this anywhere even in a big lake or river. The bass I caught here is around 3-4 pounds. didnt weight it cause this was just for fun.  
But for everyone who thinks I cant fish here are pics from the 11 pounder i caught.  
http://i12.photobucket.com/albums/a220/
	
		WOW so many haters out there ha.this was just messin around you fools. and its easy to do this anywhere even in a big lake or river. The bass I caught here is around 3-4 pounds. didnt weight it cause this was just for fun.  
But for everyone who thinks I cant fish here are pics from the 11 pounder i caught.  
http://i12.photobucket.com/albums/a220/ADDanny/dtfisj_001.jp g 
http://i12.photobucket.com/albums/a220/ADDanny/dtfisj_002.jp g
		... (more)
		(less)",Danny,Thomson,Bass,Fishing,162879,DannyThomson,-UQQBW1vozo,,627,2 days ago  in Category: Sports,1148881440000,"Mon, 29 May 2006 05:44:00 GMT",20060529054400,2.5,Cool,Awesome,,,,,,,,,,,,,,,
Insane Japan Pop Girls,27,"I want to know this orchestra is called any name ? 
please tell me to e-mail : lemonworld01@gmail.com 
 
 We saw these girls outside a performing arts school in Tokyo. They get the prize for most enthusiastic!",Live,J-Pop,Insane,Japan,158210,lemonworld,h6jm3ThvP1A,,500,2 days ago  in Category: Music,1148881440000,"Mon, 29 May 2006 05:44:00 GMT",20060529054400,2.5,Pop,Girls,,,,,,,,,,,,,,,
Pave The Rain Forest!,125,"MindField Agent Jacquelyn KIng works the crowd at 
Lollapalooza 2003 trying to get signatures suppoprting 
her important organization the  Pave The Rain Forest 
Foundation. 
 
During Lollapalooza 2003, Perry Farrell and a team of 
Pranksters led by Jason McHugh launched Mindfield, a 
text messaging prankster game that was played across 
the country
	
		MindField Agent Jacquelyn KIng works the crowd at 
Lollapalooza 2003 trying to get signatures suppoprting 
her important organization the  Pave The Rain Forest 
Foundation. 
 
During Lollapalooza 2003, Perry Farrell and a team of 
Pranksters led by Jason McHugh launched Mindfield, a 
text messaging prankster game that was played across 
the country. Mindfield will be back for three days in 
Chicago when Lollapalooza returns August 4th-6th 2006. 
 
For More information 
 www.lollapalooza.com   www.craptv.com/forum
		... (more)
		(less)",Perry,Farrell,MindField,Craptv,120357,craptv,ROXTq5Z914w,,499,1 month ago  in Category: Entertainment,1148881440000,"Mon, 29 May 2006 05:44:00 GMT",20060529054400,2.5,Lollapalooza,Rain,Forest,,,,,,,,,,,,,,
Magic Chex Box,215,Box of CHEX cereal makes me change into different outfits! www.boardwalkflorida.com,Porn,chex,cereal,box,134206,droompa,-v1jqIDELqI,,1187,4 days ago  in Category: Comedy,1148881440000,"Mon, 29 May 2006 05:44:00 GMT",20060529054400,2.5,magic,hot,sex,fun,happy,poop,bored,george,family,guy,cool,fart,myspace,wisdom,teeth,funny,baseball
MacSaber Fighting :MacBook Lightsaber,22,"Fighting with MacSabers using two MacBook Pros. 
MacBook Lightsaber 
 
See Also: 
http://web.sfc.keio.ac.jp/~yoshiro/weblog/archives/2006/05/m acsaberfightin.php 
http://loudsneakers.com/2006/05/macsaber-battle.html 
http://www.youtube.com/watch?v=jAEWuSEPwP8&search;=MacSaber%2 0starwars%20fight%20MacBook%20Lightsaber%20oklab",MacSaber,starwars,fight,MacBook,189345,suganogasu,qK4AonfnFaM,,1117,5 days ago  in Category: Entertainment,1148881440000,"Mon, 29 May 2006 05:44:00 GMT",20060529054400,2.5,Lightsaber,oklab,,,,,,,,,,,,,,,
"Jeannie Ortega ""Crowded"" Video",197,"iTUNES FREE SINGLE OF THE WEEK!!! 
 
Hi Everyone!  You can get a FREE download of my song ""Crowded"" feat. Papoose this week at iTunes.  Click the TinyURL.com link above to download it at iTunes. Hope you like it.  Hola! 
 
Much Love, 
Jeannie-",Jeannie,Ortega,Crowded,Papoose,61449,JeannieOrtega,OspppTi11ak,,458,5 days ago  in Category: Music,1148881440000,"Mon, 29 May 2006 05:44:00 GMT",20060529054400,2.5,,,,,,,,,,,,,,,,,
Qualification F3P-AM Mülheim 02/2006,150,"Indoor radio controlled airplane demonstration. Very precise demonstration! 
Pilot: Benoit Dierickx Video: Jürgen Heilig",radio,control,airplane,r/c,99271,hermann2006,Ux497FTW_5M,,632,2 weeks ago  in Category: Entertainment,1148881440000,"Mon, 29 May 2006 05:44:00 GMT",20060529054400,2.5,RC,controlled,aircraft,,,,,,,,,,,,,,
Fast Spinning Dominican Dancer,15,Male dancer spinning female partner incredibly fast. Video is actual speed of dance - not sped up.,santo,domingo,dominican,female,65318,deanishappy,qh27HAeYdxE,,216,2 days ago  in Category: Entertainment,1149428903000,"Sun, 04 Jun 2006 13:48:23 GMT",20060604134823,2.5,dancer,spinning,,,,,,,,,,,,,,,
Lightheaded In Store 360 Vinyl,29,"This is the incredible Portland based hip hop group Lightheaded rocking an in store at a local record store, 360 Vinyl. Includes Braille, Othello, and of course Ohmega Watts.  
 
Enjoy, 
Verbz @ Sameunderneath",Lightheaded,Hip,Hop,Othello,11139,Sameunderneath,KBhOVqi1hlE,,48,5 days ago  in Category: Music,1149428903000,"Sun, 04 Jun 2006 13:48:23 GMT",20060604134823,2.5,Braille,Ohmega,Watts,Rap,Freestyle,Sameunderneath,Portland,Oregon,360,Vinyl,Record,Store,,,,,
Hotness Prevails / Worst Video Ever,500,"The title says it all. It was the sun, I tells ya. This will be the last of the worst. If that makes any sense. I just had to get this one out of my system. 
 
I apologize for those who are watching my videos for the first time ever. YOU CAUGHT ME AT A BAD TIME. 
 
Edit: I have NO IDEA how this got featured. If you like listening to and looking at 
	
		The title says it all. It was the sun, I tells ya. This will be the last of the worst. If that makes any sense. I just had to get this one out of my system. 
 
I apologize for those who are watching my videos for the first time ever. YOU CAUGHT ME AT A BAD TIME. 
 
Edit: I have NO IDEA how this got featured. If you like listening to and looking at good-looking, intelligent, and funny people, you probably want to stay away from this. Also, I've probably embarrassed my family because of this video.
		... (more)
		(less)",heat,hot,crazy,,174691,thewinekone,w-rcjaBWvx0,,1970,3 days ago  in Category: Comedy,1149428903000,"Sun, 04 Jun 2006 13:48:23 GMT",20060604134823,2.5,,,,,,,,,,,,,,,,,
Martha Stewart Teaching A Teen How To Fold a T-shirt,92,"Martha Stewart, who was attending the WSJ's D conference in Carlsbad, was having lunch earlier today, and for reasons unknown, went up to a teenager, asked him to take his T-shirt, and started teaching him how to fold it. And then it became a photo-opp...go figure. 
YouTube CEO Chad Hurley was at Martha's table (towards the end of the clip), and hi
	
		Martha Stewart, who was attending the WSJ's D conference in Carlsbad, was having lunch earlier today, and for reasons unknown, went up to a teenager, asked him to take his T-shirt, and started teaching him how to fold it. And then it became a photo-opp...go figure. 
YouTube CEO Chad Hurley was at Martha's table (towards the end of the clip), and his PR lady asked to upload video here. So here you go....
		... (more)
		(less)",marthastewart,,,,78014,alirafat,DFSRk2jeIZM,,386,2 days ago  in Category: Entertainment,1149428903000,"Sun, 04 Jun 2006 13:48:23 GMT",20060604134823,2.5,,,,,,,,,,,,,,,,,
Patent Pending - Band World - Episode 1,129,"Benny The Whale moves in to the Patent Pending house. The P-Unit boys are thrilled at first, but as food turns up missing, water bills soar and Benny is discovered to have a little 'problem' the band is contemplating getting the harpoon...",Patent,Pending,Benny,The,63534,WePutOut,N6GSpKCU-Dg,,269,3 days ago  in Category: Music,1149428903000,"Sun, 04 Jun 2006 13:48:23 GMT",20060604134823,2.5,Whale,We,Put,Out,Records,Punk,,,,,,,,,,,
Grandaddy,225,"Tripwire exclusive video. Jason Lytle performs ""Elevate Myself"" at Other Music in NYC.",Tripwire,Grandaddy,Other,Music,21431,thetripwiredotcom,2a2YNC2O9Z0,,59,2 days ago  in Category: Music,1149428903000,"Sun, 04 Jun 2006 13:48:23 GMT",20060604134823,2.5,New,York,,,,,,,,,,,,,,,
Tetris on piano,46,"ah sorry its not very good AT ALL!my pianos out of tune!! but i just wanted to post sumfin! so here u have it..me playin tetris, dont critise me coz i know its crap!! oh and it says ""HAND"" on my hand! add me on myspace if u like, myspace.com/cutie_mish and check out my other vids on youtube too",piano,tetris,girl,play,411560,cutiemish,RR_Q3VAyg4I,,2701,2 months ago  in Category: Music,1149428903000,"Sun, 04 Jun 2006 13:48:23 GMT",20060604134823,2.5,loser,,,,,,,,,,,,,,,,
"3 Heads ""World Was Ours"" Video",257,"www.the3heads.com 
Buy the CD:   www.cdbaby.com/3heads 
""The World Was Ours"" Video, the title track from The 3 Heads CD, The World Was Ours.  Partly shot in Humboldt County, and the other half was shot in Los Angeles.  Filmed and Directed by Zach Andrews. 
www.myspace.com/the3heads",World,Was,Ours,three,32153,The3Heads,_wdJP84hG5g,,126,1 month ago  in Category: Music,1149428903000,"Sun, 04 Jun 2006 13:48:23 GMT",20060604134823,2.5,heads,,,,,,,,,,,,,,,,
Mjæv & Pipert (Cartoon Spoof),68,"By Lasse Gjertsen. Sorry, this is in Norwegian, but I've tried to subtitle the extremely complex dialog as well I could.. Anyhow, this is a spoof on Tom and Jerry and other chase cartoons. In contrast to these films, NOTHING happens in this one, hahaha...",tom,jerry,chase,cartoon,70956,lassegg,fSKLa_CJGZ0,,568,2 weeks ago  in Category: Arts & Animation,1149428903000,"Sun, 04 Jun 2006 13:48:23 GMT",20060604134823,2.5,parody,lasse,gjertsen,extremely,good,animation,norwegian,norsk,complex,dialogs,ass,and,titties,,,,
The Go Go Dancers of Nepal,157,"This was a short claymation film I made in high school for my video production class. I used the music from my old band, ""Lefty's Head"". The song is called ""The Go Go Dancers of Nepal"" written by Kevin Kmetz, our guitarist.",claymation,lefty's,head,adam,65145,Vorticose,lbZ6Lz5Ztc4,,297,5 days ago  in Category: Arts & Animation,1149428903000,"Sun, 04 Jun 2006 13:48:23 GMT",20060604134823,2.5,stacey,,,,,,,,,,,,,,,,
Skeleton Gig,90,Skeleton gig,Puppet,,,,82848,pukkaice,9MI944_JDDI,,864,1 day ago  in Category: Comedy,1149471018000,"Mon, 05 Jun 2006 01:30:18 GMT",20060605013018,2.5,,,,,,,,,,,,,,,,,
Cookie Mongoloid: C is for Cookie,224,"Cookie Mongoloid performs for the Cyclecide Bicycle Rodeo Benefit at ACE Junkyard in San Francisco. 
 
http://wearemongoloid.com/cookie/ 
http://www.cyclecide.com/ 
http://www.aceautosf.com/",speed,metal,,,12195,micahs,Cwv1ZRDjz-w,,67,14 hours ago  in Category: Music,1149471018000,"Mon, 05 Jun 2006 01:30:18 GMT",20060605013018,2.5,,,,,,,,,,,,,,,,,
Fast Spinning Dominican Dancer,15,Male dancer spinning female partner incredibly fast. Video is actual speed of dance - not sped up.,santo,domingo,dominican,female,103000,deanishappy,qh27HAeYdxE,,360,3 days ago  in Category: Entertainment,1149471018000,"Mon, 05 Jun 2006 01:30:18 GMT",20060605013018,2.5,dancer,spinning,,,,,,,,,,,,,,,
Lightheaded In Store 360 Vinyl Portland Oregon,29,"This is a short clip taken at an In Store concert at a record store in Portland known as 360 Vinyl. It features Lightheaded, a Portland hip hop group consisting of Braille, Othello, Ohmega Watts. Some of you will get this and some of yall won't. This is for real hip hop heads, not fan of Lil Jon and 50 Cent.  
 
Enjoy, 
Verbz @ Sameunderneath.com 

	
		This is a short clip taken at an In Store concert at a record store in Portland known as 360 Vinyl. It features Lightheaded, a Portland hip hop group consisting of Braille, Othello, Ohmega Watts. Some of you will get this and some of yall won't. This is for real hip hop heads, not fan of Lil Jon and 50 Cent.  
 
Enjoy, 
Verbz @ Sameunderneath.com 
 
www.sameunderneath.com 
www.360vinyl.com 
www.myspace.com/lightheaded
		... (more)
		(less)",Lightheaded,Hip,Hop,Othello,18331,Sameunderneath,KBhOVqi1hlE,,69,5 days ago  in Category: Music,1149471018000,"Mon, 05 Jun 2006 01:30:18 GMT",20060605013018,2.5,Braille,Ohmega,Watts,Rap,Freestyle,Sameunderneath,Portland,Oregon,360,Vinyl,Record,Store,,,,,
Hotness Prevails / Worst Video Ever,500,"The title says it all. It was the sun, I tells ya. This will be the last of the worst. If that makes any sense. I just had to get this one out of my system. 
 
I apologize for those who are watching my videos for the first time ever. YOU CAUGHT ME AT A BAD TIME. 
 
Edit: I have NO IDEA how this got featured. If you like listening to and looking at 
	
		The title says it all. It was the sun, I tells ya. This will be the last of the worst. If that makes any sense. I just had to get this one out of my system. 
 
I apologize for those who are watching my videos for the first time ever. YOU CAUGHT ME AT A BAD TIME. 
 
Edit: I have NO IDEA how this got featured. If you like listening to and looking at good-looking, intelligent, and funny people, you probably want to stay away from this. Also, I've probably embarrassed my family because of this video.
		... (more)
		(less)",heat,hot,crazy,,207366,thewinekone,w-rcjaBWvx0,,2323,4 days ago  in Category: Comedy,1149471018000,"Mon, 05 Jun 2006 01:30:18 GMT",20060605013018,2.5,,,,,,,,,,,,,,,,,
