title,description,tags/0,tags/1,tags/2,tags/3,views,author,videoId,uploadDate,comments,dateFeaturedEpoch,dateFeatured,timestampFeatured,age,duration,stars,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,tags/15,tags/16,tags/17,categories/0,tags/18,tags/19,tags/20,tags/21,tags/22
Giant Squirrel,Gian Squirrel sneaks up on some japanese kids. true fun awaits you!,mrd,Morons,Reporting,For,844,icorry,nrL66t7WcdQ,,5,1125643911000,"Fri, 02 Sep 2005 06:51:51 GMT",20050902065151,1 day ago,54,2.5,Duty,Giant,Squirrel,funny,,,,,,,,,,,,,,,,
French Marines,French Marines make a not so successful landing,Funny,stupid,beach,french,785,pauleenm,LFNArcz6kDE,,7,1125643911000,"Fri, 02 Sep 2005 06:51:51 GMT",20050902065151,1 day ago,89,4.5,marines,,,,,,,,,,,,,,,,,,,
awesome!,caugh caugh,mexican,caughing,water,,567,nicole612,AYo8oJzWhrA,,0,1125643911000,"Fri, 02 Sep 2005 06:51:51 GMT",20050902065151,1 day ago,9,4.5,,,,,,,,,,,,,,,,,,,,
clips,"clips from my upcoming video ""Random Footage""",kids,bmx,bikes,,23,series2rider,Y5NFqRlIKY8,,0,1125643911000,"Fri, 02 Sep 2005 06:51:51 GMT",20050902065151,1 day ago,91,,,,,,,,,,,,,,,,,,,,,
How to vlog,I made this how two video on how to post to youtube.,vlog,blog,tutorial,,121,keesderidder,mcxMDcpQAHc,,2,1125643911000,"Fri, 02 Sep 2005 06:51:51 GMT",20050902065151,1 day ago,208,3,,,,,,,,,,,,,,,,,,,,
Splish Splash,Braeden's vistit. Today we went to the pool!,Braeden,Pool,Swimming,,176,testtest,b5MLrbgY_Go,,0,1125643911000,"Fri, 02 Sep 2005 06:51:51 GMT",20050902065151,1 day ago,37,2,,,,,,,,,,,,,,,,,,,,
Turkish Coffee,"drink after lunch at Avvia, worth it?",turkish,coffee,avvia,,212,yasushin,0t1bYl0Z1zI,,1,1125643911000,"Fri, 02 Sep 2005 06:51:51 GMT",20050902065151,1 day ago,12,5,,,,,,,,,,,,,,,,,,,,
Blindfolded Martial Arts,This is me weapons training while blindfolded.,blindfold,training,practice,martial,194,Briden,RmE_vgA1fHI,,1,1125643911000,"Fri, 02 Sep 2005 06:51:51 GMT",20050902065151,1 day ago,217,3.5,arts,bo,staff,sword,,,,,,,,,,,,,,,,
Dodge Charger SRT8 Burnout part 2,The full version (at lower quality) of the burnout.  Where else will you see a car magazine recklessly destroy $225 tires? www.mph-online.com where else?,Dodge,charger,srt8,burnout,796,mph,YIrE89hF8oI,,1,1125643911000,"Fri, 02 Sep 2005 06:51:51 GMT",20050902065151,1 day ago,74,5,tires,racing,cars,car,auto,automobiles,,,,,,,,,,,,,,
Hurricane Katrina In NY,brutal footage of hurricane katrina,richard,leigh,rlshow,hurricane,785,RichardLeigh,pl-DKtUz4i8,,6,1125643911000,"Fri, 02 Sep 2005 06:51:51 GMT",20050902065151,1 day ago,113,2.5,katrina,,,,,,,,,,,,,,,,,,,
Walking teddy bears,"My son's mother-in-law raises chows.  Last Christmas there was a littler of about 6 week old puppies, who all looked like walking teddy bears.  We all had to wash our hands and then sit on a sheet before she would let them out of their crate to walk around.   They were very cute.",dogs,puppies,chows,,116,basykes,y5keaqEvYco,,3,1126663135000,"Wed, 14 Sep 2005 01:58:55 GMT",20050914015855,10 hours ago,90,3.5,,,,,,,,,,,,,,,,,,,,
Chu chu chu,Nacchi & Yuko,nacchi,yuko,nakazawa,MM,168,LilAnn,DoSf3vWfEGE,,2,1126663135000,"Wed, 14 Sep 2005 01:58:55 GMT",20050914015855,11 hours ago,26,4,chu,kiss,beso,,,,,,,,,,,,,,,,,
2005電信展RING舞蹈,Taiwan Xiu unfolds moves the feeling dance movie,girls,show,hot,dance,693,qwq33,ygRoMrCWC_s,,1,1126663135000,"Wed, 14 Sep 2005 01:58:55 GMT",20050914015855,11 hours ago,122,3.5,,,,,,,,,,,,,,,,,,,,
JRock Bottin,Bottin Style to Some Missy,Poppin,Popping,Dance,,65,JRockABM,r7PIdQfr31k,,0,1126663135000,"Wed, 14 Sep 2005 01:58:55 GMT",20050914015855,16 hours ago,160,,,,,,,,,,,,,,,,,,,,,
A Boy Named Sue...,My wonderful son's newest fascination...haha,Jimmy,Carrying,Purse,,124,blondiechic25,jU47mDr_V6c,,1,1126663135000,"Wed, 14 Sep 2005 01:58:55 GMT",20050914015855,19 hours ago,20,5,,,,,,,,,,,,,,,,,,,,
Kasvaa,Another bizarre creation from Nosfe.,nosfe,demoscene,video,music,67,wendell,_cZ_zH1ZO1M,,3,1126663135000,"Wed, 14 Sep 2005 01:58:55 GMT",20050914015855,23 hours ago,45,3,surreal,beards,,,,,,,,,,,,,,,,,,
Destroy my car,"rally, roll, shoot, burn.",car,burn,fire,shoot,158,alaskanpilotsdotcom,DSmaCdblarY,,0,1126663135000,"Wed, 14 Sep 2005 01:58:55 GMT",20050914015855,1 day ago,40,5,M16,rally,destroy,,,,,,,,,,,,,,,,,
emily is completely sober...,emily tried to climb into this box that we saw sitting outside Ford Field....but it didnt work out.,emily,box,street,sober,384,zil3688,fqTMTBlr2ZI,,2,1126663135000,"Wed, 14 Sep 2005 01:58:55 GMT",20050914015855,1 day ago,14,1.5,drunk,,,,,,,,,,,,,,,,,,,
Indoor Skiing in Germany,Some poorly executed ski tricks to some good music,skiing,ski,jumps,snowboard,98,AmishNumchucker,t4uRPvbQndM,,0,1126663135000,"Wed, 14 Sep 2005 01:58:55 GMT",20050914015855,1 day ago,70,4,,,,,,,,,,,,,,,,,,,,
becky,becky is born,girl,sexy,funny,porn,539,unclemonkey,mgvoVC5GGgg,,1,1126663135000,"Wed, 14 Sep 2005 01:58:55 GMT",20050914015855,1 day ago,20,3.5,,,,,,,,,,,,,,,,,,,,
Ken's 69 Camaro,Ken's Camaro at Cecil County Dragway,Camaro,Dragstrip,1969,,107,htweelz,jk_lvzWuSLc,,0,1127497047000,"Fri, 23 Sep 2005 17:37:27 GMT",20050923173727,5 hours ago,180,,,,,,,,,,,,,,,,,,,,,
ICI'05,Global Village and Home-Stay Programme of the International Conference on the Indigenous 2005,Global,Village,Home,Stay,27,Hoong,84JIpSOwYgI,,0,1127497047000,"Fri, 23 Sep 2005 17:37:27 GMT",20050923173727,5 hours ago,128,,ICI05,,,,,,,,,,,,,,,,,,,
another day at the office!!!,officers at work.... well... actually... at play!!!,officers,police,play,,95,sandman08176,MUBQM7PexuU,,0,1127497047000,"Fri, 23 Sep 2005 17:37:27 GMT",20050923173727,5 hours ago,26,4,,,,,,,,,,,,,,,,,,,,
TEST ROCKET,ROCKET IN VEGAS,ROCKET,TST,VEAGS,,34,magicjabronie,7rmctxlNFOg,,0,1127497047000,"Fri, 23 Sep 2005 17:37:27 GMT",20050923173727,8 hours ago,78,4,,,,,,,,,,,,,,,,,,,,
Easy Now.,A short motorway journey set to music.,drive,motorway,car,,23,cuthbert,ktca8SSVe4U,,0,1127497047000,"Fri, 23 Sep 2005 17:37:27 GMT",20050923173727,8 hours ago,132,,,,,,,,,,,,,,,,,,,,,
3wks pups,Staffordshire Bull Terrier pups @ 3 weeks,Staffordshire,Bull,Terrier,pups,63,Ghostlyease,E4N7j8iQclc,,0,1127497047000,"Fri, 23 Sep 2005 17:37:27 GMT",20050923173727,8 hours ago,15,,,,,,,,,,,,,,,,,,,,,
Motorcyle Ride,"Riding at Palos Verdes, CA",Motorcyle,Ride,Palos,Verdes,42,euphorbia,6-Ka42Np2BE,,0,1127497047000,"Fri, 23 Sep 2005 17:37:27 GMT",20050923173727,10 hours ago,265,,,,,,,,,,,,,,,,,,,,,
purikura,tour of a purikura parlor,purikura,print,club,sticker,33,dan,p9xN1-wgdSE,,2,1127497047000,"Fri, 23 Sep 2005 17:37:27 GMT",20050923173727,13 hours ago,35,,japan,tokyo,,,,,,,,,,,,,,,,,,
Kayaking in Der Wasser,"It speaks for itself, we had some boats and found some water.",kayak,kayaking,water,wet,26,selcal,lqGNpVuBNUU,,0,1127497047000,"Fri, 23 Sep 2005 17:37:27 GMT",20050923173727,14 hours ago,411,,steve,joey,gary,germany,,,,,,,,,,,,,,,,
100' Mt. Sumeru @ Sunset,An evening walk along Peconic Bay Beach w/ my canine buddy.,jittoku,dogen,bluff,LI,140,Jittoku,u2ZjDg8VLYM,,0,1127497047000,"Fri, 23 Sep 2005 17:37:27 GMT",20050923173727,15 hours ago,343,,Southampton,NY,Peconic,Bay,sunset,dog,dogs,pets,nature,,,,,,,,,,,
Ken's 69 Camaro,Ken's Camaro at Cecil County Dragway,Camaro,Dragstrip,1969,,119,htweelz,jk_lvzWuSLc,,0,1127500597000,"Fri, 23 Sep 2005 18:36:37 GMT",20050923183637,6 hours ago,180,,,,,,,,,,,,,,,,,,,,,
ICI'05,Global Village and Home-Stay Programme of the International Conference on the Indigenous 2005,Global,Village,Home,Stay,29,Hoong,84JIpSOwYgI,,0,1127500597000,"Fri, 23 Sep 2005 18:36:37 GMT",20050923183637,6 hours ago,128,,ICI05,,,,,,,,,,,,,,,,,,,
another day at the office!!!,officers at work.... well... actually... at play!!!,officers,police,play,,117,sandman08176,MUBQM7PexuU,,0,1127500597000,"Fri, 23 Sep 2005 18:36:37 GMT",20050923183637,6 hours ago,26,4,,,,,,,,,,,,,,,,,,,,
TEST ROCKET,ROCKET IN VEGAS,ROCKET,TST,VEAGS,,41,magicjabronie,7rmctxlNFOg,,0,1127500597000,"Fri, 23 Sep 2005 18:36:37 GMT",20050923183637,9 hours ago,78,4,,,,,,,,,,,,,,,,,,,,
Easy Now.,A short motorway journey set to music.,drive,motorway,car,,24,cuthbert,ktca8SSVe4U,,0,1127500597000,"Fri, 23 Sep 2005 18:36:37 GMT",20050923183637,9 hours ago,132,,,,,,,,,,,,,,,,,,,,,
3wks pups,Staffordshire Bull Terrier pups @ 3 weeks,Staffordshire,Bull,Terrier,pups,72,Ghostlyease,E4N7j8iQclc,,0,1127500597000,"Fri, 23 Sep 2005 18:36:37 GMT",20050923183637,9 hours ago,15,,,,,,,,,,,,,,,,,,,,,
Motorcyle Ride,"Riding at Palos Verdes, CA",Motorcyle,Ride,Palos,Verdes,44,euphorbia,6-Ka42Np2BE,,0,1127500597000,"Fri, 23 Sep 2005 18:36:37 GMT",20050923183637,11 hours ago,265,,,,,,,,,,,,,,,,,,,,,
purikura,tour of a purikura parlor,purikura,print,club,sticker,37,dan,p9xN1-wgdSE,,2,1127500597000,"Fri, 23 Sep 2005 18:36:37 GMT",20050923183637,14 hours ago,35,,japan,tokyo,,,,,,,,,,,,,,,,,,
Kayaking in Der Wasser,"It speaks for itself, we had some boats and found some water.",kayak,kayaking,water,wet,30,selcal,lqGNpVuBNUU,,0,1127500597000,"Fri, 23 Sep 2005 18:36:37 GMT",20050923183637,15 hours ago,411,,steve,joey,gary,germany,,,,,,,,,,,,,,,,
100' Mt. Sumeru @ Sunset,An evening walk along Peconic Bay Beach w/ my canine buddy.,jittoku,dogen,bluff,LI,143,Jittoku,u2ZjDg8VLYM,,0,1127500597000,"Fri, 23 Sep 2005 18:36:37 GMT",20050923183637,16 hours ago,343,,Southampton,NY,Peconic,Bay,sunset,dog,dogs,pets,nature,,,,,,,,,,,
Ken's 69 Camaro,Ken's Camaro at Cecil County Dragway,Camaro,Dragstrip,1969,,132,htweelz,jk_lvzWuSLc,,0,1127503233000,"Fri, 23 Sep 2005 19:20:33 GMT",20050923192033,7 hours ago,180,1,,,,,,,,,,,,,,,,,,,,
ICI'05,Global Village and Home-Stay Programme of the International Conference on the Indigenous 2005,Global,Village,Home,Stay,31,Hoong,84JIpSOwYgI,,0,1127503233000,"Fri, 23 Sep 2005 19:20:33 GMT",20050923192033,7 hours ago,128,,ICI05,,,,,,,,,,,,,,,,,,,
another day at the office!!!,officers at work.... well... actually... at play!!!,officers,police,play,,132,sandman08176,MUBQM7PexuU,,0,1127503233000,"Fri, 23 Sep 2005 19:20:33 GMT",20050923192033,7 hours ago,26,4,,,,,,,,,,,,,,,,,,,,
TEST ROCKET,ROCKET IN VEGAS,ROCKET,TST,VEAGS,,46,magicjabronie,7rmctxlNFOg,,0,1127503233000,"Fri, 23 Sep 2005 19:20:33 GMT",20050923192033,10 hours ago,78,4,,,,,,,,,,,,,,,,,,,,
Easy Now.,A short motorway journey set to music.,drive,motorway,car,,25,cuthbert,ktca8SSVe4U,,1,1127503233000,"Fri, 23 Sep 2005 19:20:33 GMT",20050923192033,10 hours ago,132,1,,,,,,,,,,,,,,,,,,,,
3wks pups,Staffordshire Bull Terrier pups @ 3 weeks,Staffordshire,Bull,Terrier,pups,77,Ghostlyease,E4N7j8iQclc,,0,1127503233000,"Fri, 23 Sep 2005 19:20:33 GMT",20050923192033,10 hours ago,15,,,,,,,,,,,,,,,,,,,,,
Motorcyle Ride,"Riding at Palos Verdes, CA",Motorcyle,Ride,Palos,Verdes,46,euphorbia,6-Ka42Np2BE,,0,1127503233000,"Fri, 23 Sep 2005 19:20:33 GMT",20050923192033,12 hours ago,265,,,,,,,,,,,,,,,,,,,,,
purikura,tour of a purikura parlor,purikura,print,club,sticker,42,dan,p9xN1-wgdSE,,2,1127503233000,"Fri, 23 Sep 2005 19:20:33 GMT",20050923192033,15 hours ago,35,,japan,tokyo,,,,,,,,,,,,,,,,,,
Kayaking in Der Wasser,"It speaks for itself, we had some boats and found some water.",kayak,kayaking,water,wet,31,selcal,lqGNpVuBNUU,,0,1127503233000,"Fri, 23 Sep 2005 19:20:33 GMT",20050923192033,16 hours ago,411,,steve,joey,gary,germany,,,,,,,,,,,,,,,,
100' Mt. Sumeru @ Sunset,An evening walk along Peconic Bay Beach w/ my canine buddy.,jittoku,dogen,bluff,LI,144,Jittoku,u2ZjDg8VLYM,,0,1127503233000,"Fri, 23 Sep 2005 19:20:33 GMT",20050923192033,17 hours ago,343,,Southampton,NY,Peconic,Bay,sunset,dog,dogs,pets,nature,,,,,,,,,,,
Ken's 69 Camaro,Ken's Camaro at Cecil County Dragway,Camaro,Dragstrip,1969,,139,htweelz,jk_lvzWuSLc,,0,1127506165000,"Fri, 23 Sep 2005 20:09:25 GMT",20050923200925,7 hours ago,180,1,,,,,,,,,,,,,,,,,,,,
ICI'05,Global Village and Home-Stay Programme of the International Conference on the Indigenous 2005,Global,Village,Home,Stay,34,Hoong,84JIpSOwYgI,,0,1127506165000,"Fri, 23 Sep 2005 20:09:25 GMT",20050923200925,8 hours ago,128,,ICI05,,,,,,,,,,,,,,,,,,,
another day at the office!!!,officers at work.... well... actually... at play!!!,officers,police,play,,157,sandman08176,MUBQM7PexuU,,0,1127506165000,"Fri, 23 Sep 2005 20:09:25 GMT",20050923200925,8 hours ago,26,3,,,,,,,,,,,,,,,,,,,,
TEST ROCKET,ROCKET IN VEGAS,ROCKET,TST,VEAGS,,53,magicjabronie,7rmctxlNFOg,,0,1127506165000,"Fri, 23 Sep 2005 20:09:25 GMT",20050923200925,11 hours ago,78,4,,,,,,,,,,,,,,,,,,,,
Easy Now.,A short motorway journey set to music.,drive,motorway,car,,28,cuthbert,ktca8SSVe4U,,1,1127506165000,"Fri, 23 Sep 2005 20:09:25 GMT",20050923200925,11 hours ago,132,1,,,,,,,,,,,,,,,,,,,,
3wks pups,Staffordshire Bull Terrier pups @ 3 weeks,Staffordshire,Bull,Terrier,pups,79,Ghostlyease,E4N7j8iQclc,,0,1127506165000,"Fri, 23 Sep 2005 20:09:25 GMT",20050923200925,11 hours ago,15,,,,,,,,,,,,,,,,,,,,,
Motorcyle Ride,"Riding at Palos Verdes, CA",Motorcyle,Ride,Palos,Verdes,49,euphorbia,6-Ka42Np2BE,,0,1127506165000,"Fri, 23 Sep 2005 20:09:25 GMT",20050923200925,12 hours ago,265,,,,,,,,,,,,,,,,,,,,,
purikura,tour of a purikura parlor,purikura,print,club,sticker,43,dan,p9xN1-wgdSE,,2,1127506165000,"Fri, 23 Sep 2005 20:09:25 GMT",20050923200925,15 hours ago,35,,japan,tokyo,,,,,,,,,,,,,,,,,,
Kayaking in Der Wasser,"It speaks for itself, we had some boats and found some water.",kayak,kayaking,water,wet,31,selcal,lqGNpVuBNUU,,0,1127506165000,"Fri, 23 Sep 2005 20:09:25 GMT",20050923200925,17 hours ago,411,,steve,joey,gary,germany,,,,,,,,,,,,,,,,
100' Mt. Sumeru @ Sunset,An evening walk along Peconic Bay Beach w/ my canine buddy.,jittoku,dogen,bluff,LI,145,Jittoku,u2ZjDg8VLYM,,0,1127506165000,"Fri, 23 Sep 2005 20:09:25 GMT",20050923200925,18 hours ago,343,,Southampton,NY,Peconic,Bay,sunset,dog,dogs,pets,nature,,,,,,,,,,,
Ken's 69 Camaro,Ken's Camaro at Cecil County Dragway,Camaro,Dragstrip,1969,,170,htweelz,jk_lvzWuSLc,,1,1127518785000,"Fri, 23 Sep 2005 23:39:45 GMT",20050923233945,11 hours ago,180,3,,,,,,,,,,,,,,,,,,,,
ICI'05,Global Village and Home-Stay Programme of the International Conference on the Indigenous 2005,Global,Village,Home,Stay,51,Hoong,84JIpSOwYgI,,0,1127518785000,"Fri, 23 Sep 2005 23:39:45 GMT",20050923233945,11 hours ago,128,4,ICI05,,,,,,,,,,,,,,,,,,,
another day at the office!!!,officers at work.... well... actually... at play!!!,officers,police,play,,227,sandman08176,MUBQM7PexuU,,0,1127518785000,"Fri, 23 Sep 2005 23:39:45 GMT",20050923233945,12 hours ago,26,2.5,,,,,,,,,,,,,,,,,,,,
TEST ROCKET,ROCKET IN VEGAS,ROCKET,TST,VEAGS,,73,magicjabronie,7rmctxlNFOg,,0,1127518785000,"Fri, 23 Sep 2005 23:39:45 GMT",20050923233945,14 hours ago,78,4,,,,,,,,,,,,,,,,,,,,
Easy Now.,A short motorway journey set to music.,drive,motorway,car,,36,cuthbert,ktca8SSVe4U,,1,1127518785000,"Fri, 23 Sep 2005 23:39:45 GMT",20050923233945,14 hours ago,132,1,,,,,,,,,,,,,,,,,,,,
3wks pups,Staffordshire Bull Terrier pups @ 3 weeks,Staffordshire,Bull,Terrier,pups,96,Ghostlyease,E4N7j8iQclc,,0,1127518785000,"Fri, 23 Sep 2005 23:39:45 GMT",20050923233945,14 hours ago,15,,,,,,,,,,,,,,,,,,,,,
Motorcyle Ride,"Riding at Palos Verdes, CA",Motorcyle,Ride,Palos,Verdes,58,euphorbia,6-Ka42Np2BE,,0,1127518785000,"Fri, 23 Sep 2005 23:39:45 GMT",20050923233945,16 hours ago,265,,,,,,,,,,,,,,,,,,,,,
purikura,tour of a purikura parlor,purikura,print,club,sticker,58,dan,p9xN1-wgdSE,,2,1127518785000,"Fri, 23 Sep 2005 23:39:45 GMT",20050923233945,19 hours ago,35,,japan,tokyo,,,,,,,,,,,,,,,,,,
Kayaking in Der Wasser,"It speaks for itself, we had some boats and found some water.",kayak,kayaking,water,wet,41,selcal,lqGNpVuBNUU,,0,1127518785000,"Fri, 23 Sep 2005 23:39:45 GMT",20050923233945,20 hours ago,411,,timmy,joey,gary,germany,,,,,,,,,,,,,,,,
100' Mt. Sumeru @ Sunset,An evening walk along Peconic Bay Beach w/ my canine buddy.,jittoku,dogen,bluff,LI,155,Jittoku,u2ZjDg8VLYM,,0,1127518785000,"Fri, 23 Sep 2005 23:39:45 GMT",20050923233945,21 hours ago,343,,Southampton,NY,Peconic,Bay,sunset,dog,dogs,pets,nature,,,,,,,,,,,
Ken's 69 Camaro,Ken's Camaro at Cecil County Dragway,Camaro,Dragstrip,1969,,208,htweelz,jk_lvzWuSLc,,1,1127526495000,"Sat, 24 Sep 2005 01:48:15 GMT",20050924014815,13 hours ago,180,3,,,,,,,,,,,,,,,,,,,,
ICI'05,Global Village and Home-Stay Programme of the International Conference on the Indigenous 2005,Global,Village,Home,Stay,62,Hoong,84JIpSOwYgI,,0,1127526495000,"Sat, 24 Sep 2005 01:48:15 GMT",20050924014815,13 hours ago,128,4.5,ICI05,,,,,,,,,,,,,,,,,,,
another day at the office!!!,officers at work.... well... actually... at play!!!,officers,police,play,,258,sandman08176,MUBQM7PexuU,,0,1127526495000,"Sat, 24 Sep 2005 01:48:15 GMT",20050924014815,14 hours ago,26,2.5,,,,,,,,,,,,,,,,,,,,
TEST ROCKET,ROCKET IN VEGAS,ROCKET,TST,VEAGS,,85,magicjabronie,7rmctxlNFOg,,0,1127526495000,"Sat, 24 Sep 2005 01:48:15 GMT",20050924014815,16 hours ago,78,4,,,,,,,,,,,,,,,,,,,,
Easy Now.,A short motorway journey set to music.,drive,motorway,car,,38,cuthbert,ktca8SSVe4U,,1,1127526495000,"Sat, 24 Sep 2005 01:48:15 GMT",20050924014815,16 hours ago,132,1,,,,,,,,,,,,,,,,,,,,
3wks pups,Staffordshire Bull Terrier pups @ 3 weeks,Staffordshire,Bull,Terrier,pups,110,Ghostlyease,E4N7j8iQclc,,0,1127526495000,"Sat, 24 Sep 2005 01:48:15 GMT",20050924014815,17 hours ago,15,,,,,,,,,,,,,,,,,,,,,
Motorcyle Ride,"Riding at Palos Verdes, CA",Motorcyle,Ride,Palos,Verdes,61,euphorbia,6-Ka42Np2BE,,0,1127526495000,"Sat, 24 Sep 2005 01:48:15 GMT",20050924014815,18 hours ago,265,,,,,,,,,,,,,,,,,,,,,
purikura,tour of a purikura parlor,purikura,print,club,sticker,66,dan,p9xN1-wgdSE,,3,1127526495000,"Sat, 24 Sep 2005 01:48:15 GMT",20050924014815,21 hours ago,35,4,japan,tokyo,,,,,,,,,,,,,,,,,,
Kayaking in Der Wasser,"It speaks for itself, we had some boats and found some water.",kayak,kayaking,water,wet,45,selcal,lqGNpVuBNUU,,0,1127526495000,"Sat, 24 Sep 2005 01:48:15 GMT",20050924014815,22 hours ago,411,,timmy,joey,gary,germany,,,,,,,,,,,,,,,,
100' Mt. Sumeru @ Sunset,An evening walk along Peconic Bay Beach w/ my canine buddy.,jittoku,dogen,bluff,LI,160,Jittoku,u2ZjDg8VLYM,,0,1127526495000,"Sat, 24 Sep 2005 01:48:15 GMT",20050924014815,23 hours ago,343,,Southampton,NY,Peconic,Bay,sunset,dog,dogs,pets,nature,,,,,,,,,,,
Ken's 69 Camaro,Ken's Camaro at Cecil County Dragway,Camaro,Dragstrip,1969,,212,htweelz,jk_lvzWuSLc,,1,1127529113000,"Sat, 24 Sep 2005 02:31:53 GMT",20050924023153,14 hours ago,180,3,,,,,,,,,,,,,,,,,,,,
ICI'05,Global Village and Home-Stay Programme of the International Conference on the Indigenous 2005,Global,Village,Home,Stay,63,Hoong,84JIpSOwYgI,,0,1127529113000,"Sat, 24 Sep 2005 02:31:53 GMT",20050924023153,14 hours ago,128,4.5,ICI05,,,,,,,,,,,,,,,,,,,
another day at the office!!!,officers at work.... well... actually... at play!!!,officers,police,play,,269,sandman08176,MUBQM7PexuU,,0,1127529113000,"Sat, 24 Sep 2005 02:31:53 GMT",20050924023153,14 hours ago,26,2.5,,,,,,,,,,,,,,,,,,,,
TEST ROCKET,ROCKET IN VEGAS,ROCKET,TST,VEAGS,,94,magicjabronie,7rmctxlNFOg,,0,1127529113000,"Sat, 24 Sep 2005 02:31:53 GMT",20050924023153,17 hours ago,78,4,,,,,,,,,,,,,,,,,,,,
Easy Now.,A short motorway journey set to music.,drive,motorway,car,,38,cuthbert,ktca8SSVe4U,,1,1127529113000,"Sat, 24 Sep 2005 02:31:53 GMT",20050924023153,17 hours ago,132,1,,,,,,,,,,,,,,,,,,,,
3wks pups,Staffordshire Bull Terrier pups @ 3 weeks,Staffordshire,Bull,Terrier,pups,114,Ghostlyease,E4N7j8iQclc,,0,1127529113000,"Sat, 24 Sep 2005 02:31:53 GMT",20050924023153,17 hours ago,15,,,,,,,,,,,,,,,,,,,,,
Motorcyle Ride,"Riding at Palos Verdes, CA",Motorcyle,Ride,Palos,Verdes,66,euphorbia,6-Ka42Np2BE,,0,1127529113000,"Sat, 24 Sep 2005 02:31:53 GMT",20050924023153,19 hours ago,265,,,,,,,,,,,,,,,,,,,,,
purikura,tour of a purikura parlor,purikura,print,club,sticker,67,dan,p9xN1-wgdSE,,3,1127529113000,"Sat, 24 Sep 2005 02:31:53 GMT",20050924023153,22 hours ago,35,4,japan,tokyo,,,,,,,,,,,,,,,,,,
Kayaking in Der Wasser,"It speaks for itself, we had some boats and found some water.",kayak,kayaking,water,wet,49,selcal,lqGNpVuBNUU,,1,1127529113000,"Sat, 24 Sep 2005 02:31:53 GMT",20050924023153,23 hours ago,411,,timmy,joey,gary,germany,,,,,,,,,,,,,,,,
100' Mt. Sumeru @ Sunset,An evening walk along Peconic Bay Beach w/ my canine buddy.,jittoku,dogen,bluff,LI,161,Jittoku,u2ZjDg8VLYM,,0,1127529113000,"Sat, 24 Sep 2005 02:31:53 GMT",20050924023153,1 day ago,343,,Southampton,NY,Peconic,Bay,sunset,dog,dogs,pets,nature,,,,,,,,,,,
Ken's 69 Camaro,Ken's Camaro at Cecil County Dragway,Camaro,Dragstrip,1969,,217,htweelz,jk_lvzWuSLc,,1,1127531875000,"Sat, 24 Sep 2005 03:17:55 GMT",20050924031755,14 hours ago,180,3,,,,,,,,,,,,,,,,,,,,
ICI'05,Global Village and Home-Stay Programme of the International Conference on the Indigenous 2005,Global,Village,Home,Stay,66,Hoong,84JIpSOwYgI,,0,1127531875000,"Sat, 24 Sep 2005 03:17:55 GMT",20050924031755,15 hours ago,128,4.5,ICI05,,,,,,,,,,,,,,,,,,,
another day at the office!!!,officers at work.... well... actually... at play!!!,officers,police,play,,279,sandman08176,MUBQM7PexuU,,0,1127531875000,"Sat, 24 Sep 2005 03:17:55 GMT",20050924031755,15 hours ago,26,2.5,,,,,,,,,,,,,,,,,,,,
TEST ROCKET,ROCKET IN VEGAS,ROCKET,TST,VEAGS,,100,magicjabronie,7rmctxlNFOg,,0,1127531875000,"Sat, 24 Sep 2005 03:17:55 GMT",20050924031755,18 hours ago,78,4,,,,,,,,,,,,,,,,,,,,
Easy Now.,A short motorway journey set to music.,drive,motorway,car,,38,cuthbert,ktca8SSVe4U,,1,1127531875000,"Sat, 24 Sep 2005 03:17:55 GMT",20050924031755,18 hours ago,132,1,,,,,,,,,,,,,,,,,,,,
3wks pups,Staffordshire Bull Terrier pups @ 3 weeks,Staffordshire,Bull,Terrier,pups,118,Ghostlyease,E4N7j8iQclc,,0,1127531875000,"Sat, 24 Sep 2005 03:17:55 GMT",20050924031755,18 hours ago,15,,,,,,,,,,,,,,,,,,,,,
Motorcyle Ride,"Riding at Palos Verdes, CA",Motorcyle,Ride,Palos,Verdes,68,euphorbia,6-Ka42Np2BE,,0,1127531875000,"Sat, 24 Sep 2005 03:17:55 GMT",20050924031755,20 hours ago,265,,,,,,,,,,,,,,,,,,,,,
purikura,tour of a purikura parlor,purikura,print,club,sticker,71,dan,p9xN1-wgdSE,,3,1127531875000,"Sat, 24 Sep 2005 03:17:55 GMT",20050924031755,22 hours ago,35,4,japan,tokyo,,,,,,,,,,,,,,,,,,
Kayaking in Der Wasser,"It speaks for itself, we had some boats and found some water.",kayak,kayaking,water,wet,55,selcal,lqGNpVuBNUU,,1,1127531875000,"Sat, 24 Sep 2005 03:17:55 GMT",20050924031755,1 day ago,411,,timmy,joey,gary,germany,,,,,,,,,,,,,,,,
100' Mt. Sumeru @ Sunset,An evening walk along Peconic Bay Beach w/ my canine buddy.,jittoku,dogen,bluff,LI,166,Jittoku,u2ZjDg8VLYM,,0,1127531875000,"Sat, 24 Sep 2005 03:17:55 GMT",20050924031755,1 day ago,343,,Southampton,NY,Peconic,Bay,sunset,dog,dogs,pets,nature,,,,,,,,,,,
